Year,Generation (GWh),Date Added
2024,2410.5472119469196,3/3/2025
2025,2521.739018779248,3/3/2025
2026,2671.0724883768708,3/3/2025
2027,2859.353065211326,3/3/2025
2028,3087.408441094216,3/3/2025
2029,3356.089310041629,3/3/2025
2030,3666.2701516319066,3/3/2025
2031,4018.8500439659692,3/3/2025
2032,4414.753507418092,3/3/2025
2033,4854.9313803710975,3/3/2025
2034,5340.3617282151245,3/3/2025
2035,5872.050786918029,3/3/2025
2036,6451.033942536451,3/3/2025
2037,7078.37674808735,3/3/2025
2038,7755.175979254302,3/3/2025
2039,8482.560730481055,3/3/2025
2040,9261.693553036079,3/3/2025
